dataset	lineage	field	n_cells	n_missing	missing_fraction	field_status
immunobiologyaging	CD4_like	ctype_low_conf	1329779	0	0.0	observed
immunobiologyaging	CD4_like	dataset	1329779	0	0.0	observed
immunobiologyaging	CD4_like	donor_id	1329779	0	0.0	observed
immunobiologyaging	CD4_like	lineage	1329779	0	0.0	observed
immunobiologyaging	CD4_like	pct_mt	1329779	0	0.0	observed
immunobiologyaging	CD4_like	sample_id	1329779	0	0.0	observed
immunobiologyaging	CD4_like	sex	1329779	0	0.0	observed
onek1k	CD4_like	age	528733	0	0.0	observed
onek1k	CD4_like	batch	528733	0	0.0	observed
onek1k	CD4_like	chemistry	528733	0	0.0	observed
onek1k	CD4_like	ctype_high	528733	0	0.0	observed
onek1k	CD4_like	ctype_high_conf	528733	0	0.0	observed
onek1k	CD4_like	ctype_low	528733	0	0.0	observed
onek1k	CD4_like	ctype_low_conf	528733	0	0.0	observed
onek1k	CD4_like	dataset	528733	0	0.0	observed
onek1k	CD4_like	donor_id	528733	0	0.0	observed
onek1k	CD4_like	lineage	528733	0	0.0	observed
onek1k	CD4_like	pct_mt	528733	0	0.0	observed
onek1k	CD4_like	sample_id	528733	0	0.0	observed
onek1k	CD4_like	sex	528733	0	0.0	observed
terekhova	CD4_like	age	835741	0	0.0	observed
terekhova	CD4_like	batch	835741	0	0.0	observed
terekhova	CD4_like	chemistry	835741	0	0.0	observed
terekhova	CD4_like	ctype_high	835741	0	0.0	observed
terekhova	CD4_like	ctype_high_conf	835741	0	0.0	observed
terekhova	CD4_like	ctype_low	835741	0	0.0	observed
terekhova	CD4_like	ctype_low_conf	835741	0	0.0	observed
terekhova	CD4_like	dataset	835741	0	0.0	observed
terekhova	CD4_like	donor_id	835741	0	0.0	observed
terekhova	CD4_like	lineage	835741	0	0.0	observed
terekhova	CD4_like	pct_mt	835741	0	0.0	observed
terekhova	CD4_like	sample_id	835741	0	0.0	observed
terekhova	CD4_like	sex	835741	0	0.0	observed
aidav2	CD8_like	age	246058	0	0.0	observed
aidav2	CD8_like	batch	246058	0	0.0	observed
aidav2	CD8_like	chemistry	246058	0	0.0	observed
aidav2	CD8_like	ctype_high	246058	0	0.0	observed
aidav2	CD8_like	ctype_high_conf	246058	0	0.0	observed
aidav2	CD8_like	ctype_low	246058	0	0.0	observed
aidav2	CD8_like	ctype_low_conf	246058	0	0.0	observed
aidav2	CD8_like	dataset	246058	0	0.0	observed
aidav2	CD8_like	donor_id	246058	0	0.0	observed
aidav2	CD8_like	lineage	246058	0	0.0	observed
aidav2	CD8_like	pct_mt	246058	0	0.0	observed
aidav2	CD8_like	sample_id	246058	0	0.0	observed
aidav2	CD8_like	sex	246058	0	0.0	observed
immuneindonesia	CD8_like	age	57456	0	0.0	observed
immuneindonesia	CD8_like	batch	57456	0	0.0	observed
immuneindonesia	CD8_like	chemistry	57456	0	0.0	observed
immuneindonesia	CD8_like	ctype_high	57456	0	0.0	observed
immuneindonesia	CD8_like	ctype_high_conf	57456	0	0.0	observed
immuneindonesia	CD8_like	ctype_low	57456	0	0.0	observed
immuneindonesia	CD8_like	ctype_low_conf	57456	0	0.0	observed
immuneindonesia	CD8_like	dataset	57456	0	0.0	observed
immuneindonesia	CD8_like	donor_id	57456	0	0.0	observed
immuneindonesia	CD8_like	lineage	57456	0	0.0	observed
immuneindonesia	CD8_like	pct_mt	57456	0	0.0	observed
immuneindonesia	CD8_like	sample_id	57456	0	0.0	observed
immuneindonesia	CD8_like	sex	57456	0	0.0	observed
immunobiologyaging	CD8_like	age	540448	0	0.0	observed
immunobiologyaging	CD8_like	batch	540448	0	0.0	observed
immunobiologyaging	CD8_like	chemistry	540448	0	0.0	observed
immunobiologyaging	CD8_like	ctype_high	540448	0	0.0	observed
immunobiologyaging	CD8_like	ctype_high_conf	540448	0	0.0	observed
immunobiologyaging	CD8_like	ctype_low	540448	0	0.0	observed
immunobiologyaging	CD8_like	ctype_low_conf	540448	0	0.0	observed
immunobiologyaging	CD8_like	dataset	540448	0	0.0	observed
immunobiologyaging	CD8_like	donor_id	540448	0	0.0	observed
immunobiologyaging	CD8_like	lineage	540448	0	0.0	observed
immunobiologyaging	CD8_like	pct_mt	540448	0	0.0	observed
immunobiologyaging	CD8_like	sample_id	540448	0	0.0	observed
immunobiologyaging	CD8_like	sex	540448	0	0.0	observed
onek1k	CD8_like	age	138610	0	0.0	observed
onek1k	CD8_like	batch	138610	0	0.0	observed
onek1k	CD8_like	chemistry	138610	0	0.0	observed
onek1k	CD8_like	ctype_high	138610	0	0.0	observed
onek1k	CD8_like	ctype_high_conf	138610	0	0.0	observed
onek1k	CD8_like	ctype_low	138610	0	0.0	observed
onek1k	CD8_like	ctype_low_conf	138610	0	0.0	observed
onek1k	CD8_like	dataset	138610	0	0.0	observed
onek1k	CD8_like	donor_id	138610	0	0.0	observed
onek1k	CD8_like	lineage	138610	0	0.0	observed
onek1k	CD8_like	pct_mt	138610	0	0.0	observed
onek1k	CD8_like	sample_id	138610	0	0.0	observed
onek1k	CD8_like	sex	138610	0	0.0	observed
terekhova	CD8_like	age	270242	0	0.0	observed
terekhova	CD8_like	batch	270242	0	0.0	observed
terekhova	CD8_like	chemistry	270242	0	0.0	observed
terekhova	CD8_like	ctype_high	270242	0	0.0	observed
terekhova	CD8_like	ctype_high_conf	270242	0	0.0	observed
terekhova	CD8_like	ctype_low	270242	0	0.0	observed
terekhova	CD8_like	ctype_low_conf	270242	0	0.0	observed
terekhova	CD8_like	dataset	270242	0	0.0	observed
terekhova	CD8_like	donor_id	270242	0	0.0	observed
terekhova	CD8_like	lineage	270242	0	0.0	observed
terekhova	CD8_like	pct_mt	270242	0	0.0	observed
terekhova	CD8_like	sample_id	270242	0	0.0	observed
terekhova	CD8_like	sex	270242	0	0.0	observed
aidav2	DC	age	10800	0	0.0	observed
aidav2	DC	batch	10800	0	0.0	observed
aidav2	DC	chemistry	10800	0	0.0	observed
aidav2	DC	ctype_high	10800	0	0.0	observed
aidav2	DC	ctype_high_conf	10800	0	0.0	observed
aidav2	DC	ctype_low	10800	0	0.0	observed
aidav2	DC	ctype_low_conf	10800	0	0.0	observed
aidav2	DC	dataset	10800	0	0.0	observed
aidav2	DC	donor_id	10800	0	0.0	observed
aidav2	DC	lineage	10800	0	0.0	observed
aidav2	DC	pct_mt	10800	0	0.0	observed
aidav2	DC	sample_id	10800	0	0.0	observed
aidav2	DC	sex	10800	0	0.0	observed
immuneindonesia	DC	age	2421	0	0.0	observed
immuneindonesia	DC	batch	2421	0	0.0	observed
immuneindonesia	DC	chemistry	2421	0	0.0	observed
immuneindonesia	DC	ctype_high	2421	0	0.0	observed
immuneindonesia	DC	ctype_high_conf	2421	0	0.0	observed
immuneindonesia	DC	ctype_low	2421	0	0.0	observed
immuneindonesia	DC	ctype_low_conf	2421	0	0.0	observed
immuneindonesia	DC	dataset	2421	0	0.0	observed
immuneindonesia	DC	donor_id	2421	0	0.0	observed
immuneindonesia	DC	lineage	2421	0	0.0	observed
immuneindonesia	DC	pct_mt	2421	0	0.0	observed
immuneindonesia	DC	sample_id	2421	0	0.0	observed
immuneindonesia	DC	sex	2421	0	0.0	observed
immunobiologyaging	DC	age	11612	0	0.0	observed
immunobiologyaging	DC	batch	11612	0	0.0	observed
immunobiologyaging	DC	chemistry	11612	0	0.0	observed
immunobiologyaging	DC	ctype_high	11612	0	0.0	observed
immunobiologyaging	DC	ctype_high_conf	11612	0	0.0	observed
immunobiologyaging	DC	ctype_low	11612	0	0.0	observed
immunobiologyaging	DC	ctype_low_conf	11612	0	0.0	observed
immunobiologyaging	DC	dataset	11612	0	0.0	observed
immunobiologyaging	DC	donor_id	11612	0	0.0	observed
immunobiologyaging	DC	lineage	11612	0	0.0	observed
immunobiologyaging	DC	pct_mt	11612	0	0.0	observed
immunobiologyaging	DC	sample_id	11612	0	0.0	observed
immunobiologyaging	DC	sex	11612	0	0.0	observed
onek1k	DC	age	4112	0	0.0	observed
onek1k	DC	batch	4112	0	0.0	observed
onek1k	DC	chemistry	4112	0	0.0	observed
onek1k	DC	ctype_high	4112	0	0.0	observed
onek1k	DC	ctype_high_conf	4112	0	0.0	observed
onek1k	DC	ctype_low	4112	0	0.0	observed
onek1k	DC	ctype_low_conf	4112	0	0.0	observed
onek1k	DC	dataset	4112	0	0.0	observed
onek1k	DC	donor_id	4112	0	0.0	observed
onek1k	DC	lineage	4112	0	0.0	observed
onek1k	DC	pct_mt	4112	0	0.0	observed
onek1k	DC	sample_id	4112	0	0.0	observed
onek1k	DC	sex	4112	0	0.0	observed
terekhova	DC	age	4204	0	0.0	observed
terekhova	DC	batch	4204	0	0.0	observed
terekhova	DC	chemistry	4204	0	0.0	observed
terekhova	DC	ctype_high	4204	0	0.0	observed
