dataset	lineage	fine_type	n_cells	n_donors	n_samples	confidence_missing	confidence_mean	confidence_lt_0_7	confidence_lt_0_9	confidence_min	confidence_q05	confidence_q25	confidence_median	confidence_q75	confidence_q95	confidence_max
terekhova	T_others	CD16+ NK cells	372	103	132	0	0.8562736530870692	71	102	0.010431435798838363	0.1691489817610655	0.8617131198125142	0.9956018217422316	0.9999432747671365	0.9999998433144766	0.9999999999466282
terekhova	T_others	CRTAM+ gamma-delta T cells	1782	146	250	0	0.5722839223424394	1029	1380	0.006869764497128902	0.06208645120715123	0.2766064452006025	0.6006270762685921	0.8855836186056266	0.9927761654905947	0.9999938161125494
terekhova	T_others	MAIT cells	24610	166	317	0	0.9110094954659663	2647	4890	0.01017546786775793	0.41039425828630577	0.9441519722461273	0.9959122876750173	0.9996990568932849	0.9999942293890584	0.9999999998351548
terekhova	T_others	Regulatory T cells	3726	166	317	0	0.44065404261129654	3726	3726	0.006965273910632999	0.1003429815246185	0.29653993692723574	0.4749303978741522	0.6040721822454163	0.6823999757063559	0.6999809381748868
terekhova	T_others	Tcm/Naive cytotoxic T cells	8155	166	317	0	0.41222301625997826	8155	8155	0.0018798242168388153	0.07712130595723608	0.2502324738952346	0.436701936927366	0.5869885927590768	0.6794701302442726	0.699988424920283
terekhova	T_others	Tcm/Naive helper T cells	50202	166	317	0	0.45454867520107783	50202	50202	0.00406060240896539	0.11668631616434717	0.31959873421592294	0.4891146078400349	0.61172571810234	0.6851064900857902	0.6999884683336214
terekhova	T_others	Tem/Effector helper T cells	22378	166	317	0	0.4444559488055656	22378	22378	0.0018838227032344785	0.10312029841811593	0.3032899938408328	0.4795056272886019	0.6064491831834566	0.6835120387023195	0.6999900664373337
terekhova	T_others	Tem/Temra cytotoxic T cells	38687	166	317	0	0.36068125202958673	38687	38687	0.0014790638577769123	0.050341345445818086	0.1791379013545668	0.36001755115505724	0.5435958475554301	0.6719353692964312	0.6999987085408085
terekhova	T_others	Tem/Trm cytotoxic T cells	16072	166	317	0	0.36247748994767914	16072	16072	0.0018915337800242563	0.048544194492278835	0.17928155604585727	0.36428269287780235	0.5465006564959523	0.6725676000773725	0.6999732407676449
aidav2	pDC	pDC	3864	453	453	0	0.9999029411664597	0	1	0.7726915293534653	0.9999889906713312	0.999999790342319	0.9999999849731604	0.9999999990451116	0.9999999999823247	0.9999999999999991
immuneindonesia	pDC	pDC	1708	174	174	0	0.9837258869090676	31	62	0.050531120299011995	0.951736914373629	0.999802366804712	0.999995853727859	0.9999999123661301	0.999999999430015	0.9999999999992522
immunobiologyaging	pDC	pDC	12255	233	233	0	0.9988058154335093	17	39	0.4219749150180968	0.9999970436836263	0.9999999951769085	0.999999999736215	0.9999999999809687	0.999999999999382	0.9999999999999998
onek1k	pDC	pDC	1776	625	75	0	0.988316550763243	14	39	0.057559553120278294	0.951977624158989	0.9972749745156895	0.9997174025903868	0.9999738587038686	0.9999989067282087	0.999999999217946
terekhova	pDC	pDC	10420	166	315	0	0.9989386471902313	0	14	0.7261662639652446	0.9973236320308265	0.9999635888268378	0.9999984492527549	0.9999999376189346	0.9999999993449079	0.9999999999999625
