dataset	lineage	fine_type	n_cells	n_donors	n_samples	confidence_missing	confidence_mean	confidence_lt_0_7	confidence_lt_0_9	confidence_min	confidence_q05	confidence_q25	confidence_median	confidence_q75	confidence_q95	confidence_max
onek1k	NK_ILC	CD16+ NK cells	157765	981	75	0	0.8346773689100639	33774	52644	0.004448625346840114	0.1970718237516335	0.7809668688884603	0.9806243501244634	0.9986675616634432	0.9999668440255973	0.9999999971489115
onek1k	NK_ILC	NK cells	8320	958	75	0	0.44540586583381253	6470	7681	0.009663456163007669	0.07586227529174538	0.2099160620552299	0.40030752626703847	0.6663582897568452	0.9334853130183587	0.9998658949274738
onek1k	NK_ILC	Tem/Temra cytotoxic T cells	1455	542	75	0	0.46903493034915344	1054	1302	0.010389504146657017	0.06732645860634762	0.2115444068628881	0.4307974195162464	0.7317189463627394	0.9598910191843594	0.9999093435346789
terekhova	NK_ILC	CD16+ NK cells	197151	166	317	0	0.9436757546577925	13624	22245	0.0013579965584540072	0.5362223667013963	0.9938949445013755	0.9998343673891191	0.9999946308112395	0.9999999510297204	0.9999999999998794
terekhova	NK_ILC	NK cells	6340	163	307	0	0.5625742438637962	3655	4806	0.00277101989138307	0.058073457530298585	0.2431030728512586	0.5858287120237127	0.8941018954133824	0.997724563838076	0.9999999778264752
aidav2	T_others	CD16+ NK cells	516	65	65	0	0.7481947270635538	156	231	0.001191188677675648	0.0653585289511227	0.5582604755895864	0.9450942845664922	0.9978210757111363	0.9999901853583211	0.9999999944395523
aidav2	T_others	Classical monocytes	779	250	250	0	0.6009262547485944	383	490	0.001449411320387051	0.01988201120021366	0.1980519803188544	0.7186422606418091	0.9798120067948594	0.9994620755054766	0.9999999645297649
aidav2	T_others	ILC3	408	248	248	0	0.6712535083374515	167	250	0.007333288414751138	0.06790164197235775	0.3770477727915052	0.8067090605620053	0.9635420495675555	0.9983446343691486	0.9999832189971007
aidav2	T_others	MAIT cells	31985	623	623	0	0.9111056232374535	3626	5654	0.005647561072443585	0.32498175282430114	0.975786289257078	0.9994602137308151	0.99997446573923	0.9999993807731768	0.9999999998624653
aidav2	T_others	Regulatory T cells	601	347	347	0	0.4508956373072918	601	601	0.012368303998780857	0.13080616253599192	0.31623730014041995	0.47567006610761875	0.6111381690928963	0.6844269948341453	0.699074062229666
aidav2	T_others	Tcm/Naive cytotoxic T cells	3413	548	548	0	0.39623373934763306	3413	3413	0.001914551076515084	0.058547559456746244	0.222407071791426	0.4154793198611495	0.5807938702061604	0.6782493248793794	0.6999382429940413
aidav2	T_others	Tcm/Naive helper T cells	12538	622	622	0	0.455020830678307	12538	12538	0.0008078012688889377	0.09775250984402208	0.32243288481506965	0.49543260363300745	0.6142369300530715	0.6848533348242625	0.6999860952206125
aidav2	T_others	Tem/Effector helper T cells	12857	612	612	0	0.4519962160892525	12857	12857	0.004451850596886694	0.10943108093587971	0.3194309394271682	0.4862987323401791	0.608686546557537	0.684056966909146	0.699993718163376
